,Prediksi,Lower CI,Upper CI
2025-01-01,11.473105288988998,8.163984383498425,14.782226194479572
2025-02-01,14.74078903523193,8.982698893191383,20.498879177272478
2025-03-01,10.604794904895128,3.5934253495553286,17.616164460234927
2025-04-01,12.673885403461325,4.416231033039688,20.93153977388296
2025-05-01,9.638784645948459,0.3841135657598507,18.893455726137066
2025-06-01,7.656617245271745,-2.536422406709221,17.84965689725271
2025-07-01,13.647557566189084,2.613783605185505,24.68133152719266
2025-08-01,8.652160248254262,-3.171310887586131,20.475631384094655
2025-09-01,15.649821900284115,3.0903278364837696,28.20931596408446
2025-10-01,6.6510098752847915,-6.6056884739667465,19.90770822453633
2025-11-01,12.650406336110876,-1.2676541708690117,26.568466843090764
2025-12-01,10.650712958332933,-3.8991454564057335,25.2005713730716
